Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,21027
Base Time Seconds,1744929068
Base Time Fractional,.628364260
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
60,7.43772216083e-06,Amp DC,1,6.5,F,F,F,F,F,F,Front,F,Main,-0.0000107176747,Volt DC,1,F,2W,F,F,04/17/2025,22:31:08,.834472160
61,7.438005923177e-06,Amp DC,1,6.5,F,F,F,F,F,F,Front,F,Main,-0.0000107185988,Volt DC,1,F,2W,F,F,04/17/2025,22:31:08,.837957860
62,7.438005923177e-06,Amp DC,1,6.5,F,F,F,F,F,F,Front,F,Main,-0.0000107185988,Volt DC,1,F,2W,F,F,04/17/2025,22:31:08,.841454880
63,1.899451490317e-05,Amp DC,1,6.5,F,F,F,F,F,F,Front,F,Main,-0.0000107185988,Volt DC,1,F,2W,F,F,04/17/2025,22:31:08,.844939920
64,3.055054548895e-05,Amp DC,1,6.5,F,F,F,F,F,F,Front,F,Main,0.0001027817780,Volt DC,1,F,2W,F,F,04/17/2025,22:31:08,.848427260
65,3.055148408748e-05,Amp DC,1,6.5,F,F,F,F,F,F,Front,F,Main,0.0001027817780,Volt DC,1,F,2W,F,F,04/17/2025,22:31:08,.851927080
66,-4.118875949644e-06,Amp DC,1,6.5,F,F,F,F,F,F,Front,F,Main,-0.0000107167434,Volt DC,1,F,2W,F,F,04/17/2025,22:31:08,.855410580
67,7.437442036462e-06,Amp DC,1,6.5,F,F,F,F,F,F,Front,F,Main,-0.0000107167434,Volt DC,1,F,2W,F,F,04/17/2025,22:31:08,.858895800
68,1.899413655337e-05,Amp DC,1,6.5,F,F,F,F,F,F,Front,F,Main,-0.0000107176747,Volt DC,1,F,2W,F,F,04/17/2025,22:31:08,.862388300
69,7.438005923177e-06,Amp DC,1,6.5,F,F,F,F,F,F,Front,F,Main,0.0001027817780,Volt DC,1,F,2W,F,F,04/17/2025,22:31:08,.865876520
70,3.055148408748e-05,Amp DC,1,6.5,F,F,F,F,F,F,Front,F,Main,0.0001027817780,Volt DC,1,F,2W,F,F,04/17/2025,22:31:08,.869357180
71,3.055148408748e-05,Amp DC,1,6.5,F,F,F,F,F,F,Front,F,Main,0.0001027817780,Volt DC,1,F,2W,F,F,04/17/2025,22:31:08,.872854620
72,3.055148408748e-05,Amp DC,1,6.5,F,F,F,F,F,F,Front,F,Main,-0.0000107195156,Volt DC,1,F,2W,F,F,04/17/2025,22:31:08,.876340400
